Person ID	Career	Pronouns	LGBTQ	Nationality	Needs	Child
504545	Post doctorate or almost	Female	No	French	NA	
486787	"Students (BSc, MSc, PhD)"	Female	No answer	German	NA	
486801	Professor or associate	Male	No	Dutch	NA	
503710	Post doctorate or almost	Male	No	Austrian	NA	
500336	"Students (BSc, MSc, PhD)"	Female	No	New Zealand	NA	
486592	"Senior position, lecturers, researchers"	Female	No	British	NA	
505121	Professor or associate	Female	No	NA	NA	
487269	"Students (BSc, MSc, PhD)"	Female	Yes	American	NA	
486169	Post doctorate or almost	Male	No	Canadian	None	
486993	"Students (BSc, MSc, PhD)"	Female	No	Russian	NA	
473863	"Students (BSc, MSc, PhD)"	Female	Yes	German	NA	
488410	"Students (BSc, MSc, PhD)"	Female	No	Swedish	NA	
486761	Post doctorate or almost	Male	No	Italian	NA	
485291	"Students (BSc, MSc, PhD)"	Female	No	British	None	
487017	"Senior position, lecturers, researchers"	Male	No	British	NA	
487049	Professor or associate	Female	No	Czech	NA	
486960	"Students (BSc, MSc, PhD)"	Female	No	Italian	NA	
487321	"Students (BSc, MSc, PhD)"	Female	No	Austrian	NA	
487330	Post doctorate or almost	Male	No	Hungarian	NA	
487922	Post doctorate or almost	Female	No	German	NA	
486956	Post doctorate or almost	Gender queer	Yes	British	NA	
487248	Post doctorate or almost	Female	No	Swiss	NA	
486715	Post doctorate or almost	Female	No	Swiss	NA	
475376	Post doctorate or almost	Male	No answer	Italian	NA	
486988	Post doctorate or almost	Male	No	Portugese	NA	
506294	"Senior position, lecturers, researchers"	Female	No	German	NA	
505740	Post doctorate or almost	No answer	No answer	German	NA	
487309	Post doctorate or almost	Male	No	Austrian	NA	
485225	"Students (BSc, MSc, PhD)"	Female	No	Czech	NA	
485224	"Senior position, lecturers, researchers"	Male	No	British	NA	
487317	"Students (BSc, MSc, PhD)"	Male	Yes	NA	NA	
496713	"Students (BSc, MSc, PhD)"	Female	No	French	NA	
483387	Post doctorate or almost	Female	No answer	Finnish	NA	
487601	"Students (BSc, MSc, PhD)"	No answer	No	Italian	NA	
483855	"Senior position, lecturers, researchers"	Male	No	NA	NA	
486059	"Senior position, lecturers, researchers"	Female	No	British	NA	
483766	"Students (BSc, MSc, PhD)"	Female	No	Portugese	NA	
486978	"Students (BSc, MSc, PhD)"	Female	No	Dual nationality	NA	
487296	"Students (BSc, MSc, PhD)"	Male	No	Japanese	NA	
487211	"Students (BSc, MSc, PhD)"	Female	Yes	Polish	NA	
412915	"Senior position, lecturers, researchers"	Female	No	German	No	
485841	Professor or associate	Male	No	Indian	NA	
503383	"Students (BSc, MSc, PhD)"	Male	Yes	Portugese	NA	
485545	Post doctorate or almost	Female	No	German	NA	
502209	"Students (BSc, MSc, PhD)"	Male	Yes	Italian	NA	
487342	"Students (BSc, MSc, PhD)"	Female	No	Mexican	NA	
496838	"Students (BSc, MSc, PhD)"	Female	No answer	NA	NA	
485077	"Students (BSc, MSc, PhD)"	Male	No	Ecuadorian	NA	
487141	"Students (BSc, MSc, PhD)"	Female	No	Spanish	None.	
474723	"Senior position, lecturers, researchers"	Female	No	British	NA	
487413	"Students (BSc, MSc, PhD)"	Female	Yes	Spanish	NA	
486029	"Students (BSc, MSc, PhD)"	Female	No	German	NA	
487366	Post doctorate or almost	Female	No	German	NA	
504542	"Students (BSc, MSc, PhD)"	Female	No answer	Indian	NA	
504777	Post doctorate or almost	Female	Yes	Greek	NA	
403716	"Students (BSc, MSc, PhD)"	Male	No	French	NA	
506298	"Students (BSc, MSc, PhD)"	Female	No	Australian	NA	
